	rab.all	rab.win.ak	rab.win.op	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
4	0.197374013648707	0.389165142331279	0.00829118919519001	-0.410120438706504	4.24972774479418	-0.08008708326597	0.458600000138952	0.280249515462684	0.367315267916654	0.253855458730601	0.32459831746589
10	1.00083177225187	0.335907094328601	1.82152628028618	1.68156268773048	4.44513089402939	0.329098442054986	0.338200000602416	9.82437148660205e-05	0.000464874679633786	8.21117173844975e-06	4.62829323204938e-05
11	2.55123286881387	1.17979763060774	4.28814152766719	3.23820999609956	4.97413078768903	0.59682060358129	0.23900000119585	1.33284610074761e-12	2.86276584536874e-11	1.92135198287688e-16	6.46733312756676e-15
12	0.475805678489044	0.279635297100869	0.69682822230282	0.477376810150557	4.27315327755963	0.0933527120814	0.452200000160803	0.236089357404833	0.318229605817108	0.193119177552526	0.261286213852371
43	0.307639007094996	0.574014873866958	0.0529718628949016	-0.481321130296347	4.16631824875335	-0.0976875716766226	0.444800000186271	0.169984863231041	0.246665361722551	0.125426406174213	0.180612233032402
66	0.568932282599554	1.21346934022389	0.0201067705653699	-1.20694271947174	4.22892270893982	-0.246608125541504	0.371925615333734	0.00770004637454313	0.0163525862902508	0.00410172886729073	0.00660399535501784
94	0.54180093151985	0.312103284470648	0.783796887462343	0.489406493374581	4.13180499206927	0.106519939502199	0.445510898004175	0.213323057663466	0.293854726505301	0.168045897245361	0.22754102933083
104	0.315845735287066	0.32629672954044	0.302545499875302	-0.048051536613686	4.15339087055945	-0.0100901063577736	0.495000000016668	0.483525683754045	0.583045569852731	0.513666897579411	0.598249904753011
107	0.372473762927939	0.276833828018882	0.46473739551782	0.267206067254349	4.14950965679304	0.0557267421801807	0.471200000096319	0.457880857122828	0.558953728009265	0.431496979239126	0.520488977759854
114	0.317019555450694	0.394481764647471	0.231742145999892	-0.106567487887072	4.17251051619368	-0.0219285805995849	0.488302339571091	0.447372507089761	0.548399784381137	0.429701969360329	0.520281366574269
118	0.336550618528962	0.609633254972962	0.0808005095081956	-0.51324952078984	4.12544644019613	-0.106596773540683	0.443000000192502	0.246949317774981	0.32787784375591	0.159013758948185	0.221962494414171
119	0.51147870174193	0.340544196104608	0.688698472561522	0.311482209393929	4.20672777625593	0.0655066082957034	0.467106578794341	0.309019120264806	0.394292356733673	0.262975082974812	0.340338304460385
124	0.298684629972627	0.571427365724154	0.0225508285441798	-0.507192409870841	4.22546499534324	-0.0993164445322969	0.448400000173852	0.193936446797362	0.273004792111855	0.130708194252262	0.184674968157893
128	0.552220216147532	0.538491078604252	0.568300631688068	0.00284462670947949	4.23467515013851	0.000536987697428763	0.499800000000667	0.525363371924867	0.626202036596723	0.522658093978285	0.609878924525739
132	0.557197412848132	0.266601077708343	0.861874023049842	0.644050942663342	4.25933203778289	0.12843096872974	0.430600000235878	0.125771948325154	0.189580621194561	0.08114672603045	0.126449546414496
146	0.478605087229826	0.330675193042056	0.623457134901269	0.29626533817861	4.17151951542171	0.0602125777729445	0.468200000106431	0.357425977843718	0.451243446891324	0.329447207360024	0.408511265972391
153	0.34297616404725	0.643483026891765	0.0501013002407715	-0.573472019601699	4.13510129414518	-0.114113135487962	0.438512297748515	0.163381850989965	0.229451949377905	0.132201459033	0.177751102763524
176	0.372090922123478	0.309094203276501	0.424043564384075	0.15063321282249	4.11837560631858	0.0329494890881366	0.48210357934385	0.470697472796861	0.564110771896314	0.4498048336215	0.538015665112338
191	0.496603959560827	0.315082475849768	0.679919110514991	0.400075146530891	4.19332257945804	0.0811531240722272	0.457600000142356	0.277384984512881	0.369195044447213	0.247103793715221	0.32541366378816
223	0.331441461249889	0.227404990852579	0.416264291898109	0.185259757828776	4.11940901342433	0.0382770965151915	0.479304139241242	0.45884462229383	0.554523954743181	0.460283633447603	0.543841402730209
225	0.867920423307146	0.392441780610385	1.40133529622808	1.14815543773468	4.39672575454489	0.235511319582392	0.382400000414954	0.0120692129859599	0.0217212101600523	0.00502445971081717	0.0102578617671574
228	0.288494773397761	0.471405519860755	0.113974541863484	-0.322763424282067	4.1527510677069	-0.0623009653209536	0.467306538801664	0.304515552322758	0.404042565775243	0.267019443554745	0.347946717907755
239	0.30569402222915	0.557451821365733	0.0407535790077009	-0.534133127441352	4.20784579433859	-0.101970583011317	0.4386000002078	0.217105232227385	0.297167176113431	0.160584233831404	0.223485658385564
244	0.32485434216293	0.623789203636041	0.041524408730532	-0.667253136574686	4.257578028022	-0.136976687353771	0.433113377551463	0.180688636809163	0.259267804916072	0.105156958126037	0.162913124777692
245	0.408937899307113	0.762496550131762	0.066453119077492	-0.695700351849044	4.19270548962174	-0.140245307807499	0.420000000273673	0.108613063107422	0.168010550413319	0.0557998206421801	0.090170266876461
261	0.349756096323756	0.322317196293574	0.371188612000735	0.102425204524359	4.23707847624923	0.0204514048718236	0.489600000034682	0.495019634695615	0.595840890633797	0.518399538565643	0.601918102209794
292	0.399327317009836	0.295820109562684	0.511865215588792	0.326856036461049	4.27523371326579	0.0664263425452483	0.464507098699145	0.364037131265364	0.461838215516801	0.380990150983899	0.461474632687781
306	0.320987269403721	0.624608232302587	0.0433378812742466	-0.568574405918476	4.17836802525968	-0.116303997026626	0.437600000211291	0.198640802547426	0.270288323043011	0.128417236414451	0.179535180166494
312	0.336984728252918	0.28740166172966	0.387805157327509	0.117842192400631	4.28817876703971	0.0225958086490413	0.486502699505113	0.445678341304087	0.548255303287677	0.444452936107695	0.532937685497795
318	0.326196942381301	0.607345020728729	0.0738668333731969	-0.598839885828106	4.22341272395515	-0.120120699169789	0.437112577697412	0.175559097219243	0.25178620397039	0.128481536013097	0.184152262753093
