	rab.all	rab.win.op	rab.win.up	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
10	1.77820536904756	1.78038526499827	1.77275879960904	0.0863063800461159	4.62860553906741	0.014781676248322	0.491800000027341	0.567367328972381	0.848483840532233	0.615267629994213	0.862991983820507
11	3.96863668035626	4.2811988613818	3.65284716800019	-0.49810040394727	5.1369112646475	-0.0853612574053806	0.459600000135552	0.227389524702187	0.633870546044132	0.186675072088259	0.582326960813227
12	0.600731533814004	0.695881246617237	0.517064149837312	-0.235437482764961	4.24805553839193	-0.0459923204923256	0.474600000084885	0.409168658331391	0.742350493841348	0.392409559577457	0.700062101245015
40	0.215457298270523	0.172325913862531	0.258935334866103	0.0608547336996939	4.24791198439682	0.0131774046435053	0.493701259769042	0.521124500134904	0.80741204829721	0.506726311576327	0.792391737486517
77	0.235417148633696	0.244539361118994	0.225546698468752	0.0280809835377829	4.14394791526762	0.00695026938073828	0.496400000012001	0.521587296510816	0.806837364184619	0.516284230335472	0.792920059518861
94	1.45660885717797	0.72555959026721	2.28303164475319	1.6079668968444	4.25022155866413	0.325385645666292	0.338800000599663	0.000273255469621633	0.0113000804733588	7.06530575280997e-06	0.000785604107128377
104	0.252444457728742	0.282823307229269	0.21669416757026	-0.0621557334051035	4.08959970859508	-0.0142618316524336	0.492400000025339	0.532713685309534	0.813704425862195	0.477013719144867	0.768225848943847
107	0.397211031602168	0.465787451323497	0.328951129477655	-0.203913915037741	4.16190668458816	-0.0414414830956312	0.478200000072805	0.495163268490999	0.792458813190637	0.503056813497546	0.776306676240082
119	0.697927386640184	0.720039130147236	0.670376154518286	-0.0272984198454829	4.21964367505944	-0.00618564382635194	0.49670065987902	0.525226844730387	0.803720005850419	0.506404905546433	0.781775041549559
128	0.450009774596072	0.514974579126544	0.379606179674474	-0.138724803035575	4.1520889237274	-0.0315384623592542	0.483503299395159	0.48753194921732	0.788851132774883	0.471279554610542	0.753593056775951
132	0.765915370608972	0.872094062111952	0.671439176550083	-0.203900607984866	4.27138688776653	-0.0417448493135461	0.475704859109337	0.464642625398336	0.771534673840819	0.387435292760779	0.710670642841802
141	0.276580419946675	0.226440281921597	0.324435756694784	0.127581860428021	4.21589165978747	0.0225731348780372	0.486200000046035	0.479063211268532	0.789075582520715	0.493846567103843	0.775385993709051
142	0.221134841223491	0.139777943879697	0.299549146352836	0.172404524908901	4.25125637300791	0.0328701461025403	0.482000000060077	0.473728965237037	0.779387261781512	0.48033388567672	0.761365819894166
146	0.59412408325678	0.614319851137833	0.572542207077295	0.0118843419874795	4.09064449469433	0.00290364606947971	0.498400000005334	0.526985491357792	0.81917395914002	0.516284579683816	0.795420008964147
176	0.482409289260761	0.466272037666355	0.500065833399705	-0.00923284535371671	4.18819886632928	-0.0016710068802983	0.49950009998167	0.493438171776084	0.800410763442504	0.503855399260909	0.792353920723553
191	1.16858877379217	0.650641953659196	1.76581769093805	1.34643695818794	4.42736008328099	0.264569474132354	0.37080000046148	0.00347927322923608	0.0572616522777136	0.000942397661863221	0.0227080570478101
223	0.329018302310962	0.439356179571432	0.230106822377262	-0.1489225190257	4.0631338437844	-0.0316468790690223	0.483903219409819	0.441381948686359	0.746816465630267	0.411540959738105	0.700449892275669
225	1.40081076226902	1.3876281218755	1.41080476634176	0.0573568159081494	4.85663233394538	0.0123187942281774	0.494301139791037	0.575993071671871	0.851439716314343	0.629547202824588	0.864671350476301
261	0.335952058714055	0.337093660923522	0.334976964217232	-0.0374718598108537	4.19766297842193	-0.00754247524999501	0.495500899835028	0.495349456567435	0.802137826474255	0.530304195763929	0.806069149482606
277	0.11311427421912	0.0430488453967888	0.185745182090519	0.147673996322873	4.26651843984751	0.0304570562273985	0.485502899468461	0.474090865871084	0.778073138521742	0.449115987182953	0.742508196651042
291	0.221328686474306	0.252705520289462	0.193386570819369	-0.0540116749497948	4.21530916939912	-0.00978934769109005	0.494400000018669	0.537671583364048	0.813531184624986	0.50844523154798	0.790114720508866
292	0.447636698808203	0.499584035309095	0.400803174289351	-0.0968259288971218	4.39629502140931	-0.0169514647918936	0.489200000036017	0.523473584563125	0.809129842167472	0.521756632738675	0.802612308036851
293	0.117866152107049	0.124148708560064	0.110535827773813	-0.00241920769649173	4.23101722477191	-0.000655865830266177	0.499400000002	0.54486209729618	0.827429787144243	0.534626505776957	0.804662104385301
303	0.205992166765153	0.134225752266799	0.281137733867679	0.173637217766229	4.40543877955455	0.0384720701307169	0.480400000065434	0.467761659441817	0.776857774185314	0.47622657198036	0.758850543931311
312	0.603279507794695	0.424828191024795	0.807663563150316	0.503844929101154	4.5736304574951	0.0965662218645244	0.449510098150369	0.278235504886405	0.603052367923803	0.238459113745367	0.532765944093866
323	0.46009686565544	0.301834166976874	0.640554183754668	0.36018267280873	4.2881493009901	0.0705987158724556	0.460907818567369	0.295610645234975	0.625681429232721	0.264538030018884	0.57298055450101
330	0.694274046549794	0.585011342103377	0.815854344955131	0.208405572267095	4.27873098321544	0.0433177479627784	0.478200000072805	0.474030769997728	0.768823363348236	0.416923674247448	0.715735406825326
335	0.204525997127002	0.220326235764954	0.193938430019428	0.00263638009519962	4.16268233383779	0.000322188413545115	0.499600000001334	0.51552111571372	0.805295481347338	0.506347379381067	0.793346887797188
336	1.06566792632922	0.757857849100261	1.42227873606423	0.848435635176175	4.26001693389164	0.170940830529989	0.412917416815933	0.0853300559225822	0.312580742582413	0.0523756219172856	0.217816991989172
367	0.31950422005541	0.410237806164023	0.227897033673393	-0.170857993796305	4.14791999627285	-0.0354637603540305	0.478704259219257	0.432937153528027	0.735793274114929	0.421847669585515	0.699423998342351
373	0.549972697089829	0.331581617271688	0.78326306231317	0.435888854904409	4.18043017539565	0.0915034026915569	0.449800000169038	0.296338006010124	0.600303028864162	0.217564630652829	0.512643407699632
386	0.323672076817347	0.333675473130801	0.314877338959356	-0.0189417344156588	4.20069722255099	-0.00385256334292339	0.498000000006667	0.482150409169356	0.79285245278611	0.482473665288011	0.772819118038479
420	0.34678436055735	0.308605882479249	0.38492011366036	0.0657191323208997	4.12304969494606	0.0127474980963309	0.492901419739715	0.478281864787412	0.787777416436792	0.468824791446627	0.758394799721821
440	0.333508498220957	0.335965107790918	0.330767905651021	0.006957844929671	4.13757698392945	0.0014103507074703	0.498900219959673	0.501844004273712	0.803791466836147	0.518882207016508	0.799146963988809
447	2.13765191260435	1.78268828072459	2.58257153518019	0.804802080234947	5.18211662216584	0.138107596508347	0.434113177587942	0.121737920631864	0.434047069468262	0.0722815310147634	0.337582114034651
470	0.476791260156757	0.261956992825603	0.699601751021905	0.505205836787737	4.51703264677128	0.0949884829945263	0.45000000016835	0.237876045739911	0.567580586644613	0.218089708604083	0.523167453354626
481	1.37755952884632	1.64239545996668	1.12924205018435	-0.446062313337498	4.27905772540444	-0.0924037996678895	0.451600000162859	0.258908591431497	0.605112088355934	0.173524595300741	0.484295382259097
491	2.41586093949952	2.38930005107366	2.4445604927856	0.0717690891448024	4.46303869003201	0.0141563967245187	0.492501499725051	0.613027590952865	0.877812417039064	0.699934513236312	0.906763363457039
507	0.427626390476302	0.281165719639818	0.595769618740621	0.334270088118843	4.33332071400624	0.0651376779156868	0.467600000108456	0.342702661993562	0.664422318526595	0.32565150191869	0.615181383096381
516	0.213525816541726	0.132010303034422	0.305772273935604	0.159545552136992	4.1893388741956	0.0315015659786222	0.480103979270558	0.455730785269224	0.753558695826814	0.453077914926474	0.723884889356083
517	0.567192015940388	0.561555011585716	0.572528353705693	0.0258695562229585	4.17847958297113	0.00425043692262236	0.498100379930345	0.580089220541792	0.852123723826688	0.566714425323382	0.835497621011372
518	0.22794448934051	0.226155296546043	0.230781276299767	0.0535966613127226	4.24757515294719	0.0106960151778087	0.493400000022004	0.502256342102608	0.810407788506634	0.505766835942652	0.795108831606179
523	0.263407278643082	0.35285729133863	0.185540545201471	-0.192448904784386	4.08936092373948	-0.0442482734697661	0.474905019080029	0.445103384749312	0.754058874968978	0.457652982270562	0.734982966258876
524	0.407473922550539	0.349644638949988	0.456006040230611	0.0488971061325945	4.150711437879	0.0101032119181302	0.493301339754378	0.48567545894478	0.784409425235664	0.490613682205526	0.773670478954294
536	0.553650801628122	0.307876988474932	0.843042675046925	0.725942550486814	4.58845998479274	0.141758507303134	0.427514497347287	0.0536995732452493	0.301379826095637	0.0551727153117729	0.28251798262508
538	0.218961320613186	0.244319114848286	0.196659242471859	-0.0452463519418274	4.14214336027217	-0.00910859834204964	0.495200000016001	0.480859663784498	0.790242608345805	0.53554129302282	0.800816755010628
