	root	phylum	class	order	family	genus
22344	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
22356	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
22379	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
22394	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	Rothia
22420	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
22425	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
22436	Root	Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Kingella
22441	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	Porphyromonas
22448	Root	Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	Campylobacter
22464	Root	Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Aggregatibacter
22506	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
22517	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Leptotrichia
22519	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces
22527	Root	Firmicutes	c__Bacilli	o__Gemellales	f__Gemellaceae	Gemella
22547	Root	Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	Corynebacterium
22554	Root	Firmicutes	c__Clostridia	o__Clostridiales	f__ClostridialesFamilyXI.IncertaeSedis	
22589	Root	Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Prevotella
22602	Root	Bacteroidetes	c__Flavobacteria	o__Flavobacteriales	f__Flavobacteriaceae	Capnocytophaga
22670	Root	Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	Fusobacterium
22676	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Streptococcus
22689	Root	Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	Granulicatella
